full_name,job_title,organization,lookup_query,lookup_status,lookup_note
Bowofade Elegbede,Associate Director and Head of Investments,Acumen,Bowofade Elegbede Acumen LinkedIn,not_found,status_429
Folake Elias-Adebowale,Partner,Udo Udoma & Belo-Osagie,Folake Elias-Adebowale Udo Udoma & Belo-Osagie LinkedIn,not_found,status_429
Farid Fezoua,"Director - Equity, Funds and Venture Capital",International Finance Corporation (IFC),Farid Fezoua International Finance Corporation (IFC) LinkedIn,not_found,status_429
Clarisa De Franco,Senior Advisor,Allied Climate Partners,Clarisa De Franco Allied Climate Partners LinkedIn,not_found,status_429
Sissi Frank,Senior Investment Officer,European Investment Bank,Sissi Frank European Investment Bank LinkedIn,not_found,status_429
Oliver Game,Private Equity and Venture Capital Lead - East Africa,Proparco,Oliver Game Proparco LinkedIn,not_found,status_429
Zee de Gersigny,Principal,FSDAi,Zee de Gersigny FSDAi LinkedIn,not_found,status_429
Wandia Gichuru,Co-Founder and Chief Executive Officer,Vivo Fashion Group,Wandia Gichuru Vivo Fashion Group LinkedIn,not_found,status_429
Gerald Gondo,Group Chief Investment Officer,ICEA LION Group,Gerald Gondo ICEA LION Group LinkedIn,not_found,status_429
Viloshan Govender,"Portfolio Manager, Investments and Structuring",Gemcorp Capital Management Ltd.,Viloshan Govender Gemcorp Capital Management Ltd. LinkedIn,not_found,status_429
Hisham Halbouny,Managing Partner,P1 Ventures,Hisham Halbouny P1 Ventures LinkedIn,not_found,status_429
Lyndsay Handler,Co-Founder and Managing Partner,Delta40,Lyndsay Handler Delta40 LinkedIn,not_found,status_429
Alicia Harel,"Executive Vice President, Global and International Corporates, Funds",Mauritius Commercial Bank,Alicia Harel Mauritius Commercial Bank LinkedIn,not_found,status_429
Simon Harford,Partner and Director,Boston Consulting Group,Simon Harford Boston Consulting Group LinkedIn,not_found,status_429
Gbenga Hassan,Managing Partner,Argentil Capital Management,Gbenga Hassan Argentil Capital Management LinkedIn,not_found,status_429
Philipp Hein,"Director and Head, Private Equity Africa and Global Climate Investments",DEG,Philipp Hein DEG LinkedIn,not_found,status_429
Edmund Higenbottam,Chief Executive Officer,Verdant Capital,Edmund Higenbottam Verdant Capital LinkedIn,not_found,status_429
Jean-Claude Homawoo,Co-Founder and Chief Executive Officer,Lori Systems,Jean-Claude Homawoo Lori Systems LinkedIn,not_found,status_429
Jessica Hope,Founder and Chief Executive Officer,Wimbart,Jessica Hope Wimbart LinkedIn,not_found,status_429
Grant Howarth,Director and Principal,Metier,Grant Howarth Metier LinkedIn,not_found,status_429
'Tokunboh Ishmael,Co-Founder and Managing Director,Alitheia Capital,'Tokunboh Ishmael Alitheia Capital LinkedIn,not_found,status_429
Cecilia Isohi,Senior Research Analyst,AVCA – The African Private Capital Association,Cecilia Isohi AVCA – The African Private Capital Association LinkedIn,not_found,status_429
Steve Olisaemeka Iwenjora,Partner,African Capital Alliance,Steve Olisaemeka Iwenjora African Capital Alliance LinkedIn,not_found,status_429
Valentin Janjou,"Investment Officer, Venture Capital",Proparco,Valentin Janjou Proparco LinkedIn,not_found,status_429
Khaled Ben Jilani,Senior Partner,AfricInvest,Khaled Ben Jilani AfricInvest LinkedIn,not_found,status_429
Aude Juglard,"Head, Finance and Fundraising",Mstudio,Aude Juglard Mstudio LinkedIn,not_found,status_429
Alex Rumanyika Kalimugogo,"Head, Strategy and Performance",National Social Security Fund (Uganda),Alex Rumanyika Kalimugogo National Social Security Fund (Uganda) LinkedIn,not_found,status_429
Jean-Marie Kananura,Chief Investment Officer,Rwanda Finance Limited,Jean-Marie Kananura Rwanda Finance Limited LinkedIn,not_found,status_429
Corey Karaka,Investment Principal,Soros Economic Development Fund,Corey Karaka Soros Economic Development Fund LinkedIn,not_found,status_429
Shaka Kariuki,Co-Chief Executive Officer and Chief Investment Officer,Kuramo Capital Management,Shaka Kariuki Kuramo Capital Management LinkedIn,not_found,status_429
Aito Kasahara,"Manager, Media and Digital Business Unit",Sumitomo Corporation,Aito Kasahara Sumitomo Corporation LinkedIn,not_found,status_429
Yaw Keteku,"Co-Lead and Fund Manager, ACA Private Credit Fund",African Capital Alliance,Yaw Keteku African Capital Alliance LinkedIn,not_found,status_429
Pranav Khamar,Partner and Portfolio Manager,Gemcorp Capital,Pranav Khamar Gemcorp Capital LinkedIn,not_found,status_429
Evah Kimani,"Chief Executive Officer, Britam Micro Insurance",Britam,Evah Kimani Britam LinkedIn,not_found,status_429
Alison Klein,Managing Director,Akmazo,Alison Klein Akmazo LinkedIn,not_found,status_429
Boris Kodjoe,"Actor, Director, Producer, Investor and Philanthropist",,Boris Kodjoe  LinkedIn,not_found,status_429
Chris Kuchanny,Founder and Chief Executive Officer,Impactable Investment Group,Chris Kuchanny Impactable Investment Group LinkedIn,not_found,status_429
Chumani Kula,"Co-Head, Old Mutual Private Equity",Old Mutual Alternative Investments,Chumani Kula Old Mutual Alternative Investments LinkedIn,not_found,status_429
Raj Kulasingam,Senior Counsel,Dentons,Raj Kulasingam Dentons LinkedIn,not_found,status_429
Omar Laalej,Managing Director,Al Mada Ventures,Omar Laalej Al Mada Ventures LinkedIn,not_found,status_429
Sofiane Lahmar,Chief Executive Officer,Development Partners International,Sofiane Lahmar Development Partners International LinkedIn,not_found,status_429
Marc Lasserre,Managing Partner,S.O. Capital Advice,Marc Lasserre S.O. Capital Advice LinkedIn,not_found,status_429
Olusola Lawson,Managing Director and Co-Head,African Infrastructure Investment Managers,Olusola Lawson African Infrastructure Investment Managers LinkedIn,not_found,status_429
David Lekerai,"Partner, IKM Associates",DLA Piper Africa,David Lekerai DLA Piper Africa LinkedIn,not_found,status_429
Ashley Lewis,"Managing Partner and Head, Venture Capital",DPI Venture Capital,Ashley Lewis DPI Venture Capital LinkedIn,not_found,status_429
Leslie Maasdorp,Chief Executive Officer,British International Investment,Leslie Maasdorp British International Investment LinkedIn,not_found,status_429
Paul Maasdorp,Managing Director and Partner,Alterra Capital Partners,Paul Maasdorp Alterra Capital Partners LinkedIn,not_found,status_429
Christine Maina,Chief Executive Officer,East Africa Venture Capital Association,Christine Maina East Africa Venture Capital Association LinkedIn,not_found,status_429
Mantuka Maisela,Chairperson,Motor Industry Retirement Funds,Mantuka Maisela Motor Industry Retirement Funds LinkedIn,not_found,status_429
Daniel Marlo,Managing Partner,4DX Ventures,Daniel Marlo 4DX Ventures LinkedIn,not_found,status_429
Joe Mate,Investment Director,British International Investment,Joe Mate British International Investment LinkedIn,not_found,status_429
Kenneth Mbae,Managing Director,Centum Real Estate,Kenneth Mbae Centum Real Estate LinkedIn,not_found,status_429
Nyeji Mhango,Founding Partner and Chief Executive Officer,wCap,Nyeji Mhango wCap LinkedIn,not_found,status_429
Chinedu Mofunanya,"Head, Externally Managed Investments",Nigerian Sovereign Investment Authority,Chinedu Mofunanya Nigerian Sovereign Investment Authority LinkedIn,not_found,status_429
Mike Mompi,Co-Founder and Managing Partner,Enza Capital,Mike Mompi Enza Capital LinkedIn,not_found,status_429
Jesse Moore,Chief Executive Officer and Co-Founder,M-KOPA,Jesse Moore M-KOPA LinkedIn,not_found,status_429
Rachel Moré-Oshodi,Chief Executive Officer and Managing Director,ARM-Harith Infrastructure Investment,Rachel Moré-Oshodi ARM-Harith Infrastructure Investment LinkedIn,not_found,status_429
Andreata Muforo,Partner,TLcom Capital,Andreata Muforo TLcom Capital LinkedIn,not_found,status_429
Juliet Munro,"Director, Early-Stage Finance",FSD Africa,Juliet Munro FSD Africa LinkedIn,not_found,status_429
Makole Mupita,Director and Fund Principal,Mahlako Financial Services,Makole Mupita Mahlako Financial Services LinkedIn,not_found,status_429
Josphat Muriuki,"Deputy Director, Finance",Central Bank of Kenya,Josphat Muriuki Central Bank of Kenya LinkedIn,not_found,status_429
Abi Mustapha-Maduakor,Chief Executive Officer,AVCA – The African Private Capital Association,Abi Mustapha-Maduakor AVCA – The African Private Capital Association LinkedIn,not_found,status_429
Dr. James Mwangi,Group Managing Director and Chief Executive Officer,Equity Group Holdings Plc.,Dr. James Mwangi Equity Group Holdings Plc. LinkedIn,not_found,status_429
Dr Angela Mwenda,"Head, Sustainable Finance Practice",SLR Consulting,Dr Angela Mwenda SLR Consulting LinkedIn,not_found,status_429
Frank Mwiti,Chief Executive Officer,Nairobi Securities Exchange,Frank Mwiti Nairobi Securities Exchange LinkedIn,not_found,status_429
Esther Ndeti,Managing Partner,Unconventional Capital,Esther Ndeti Unconventional Capital LinkedIn,not_found,status_429
Dr. Karimi Ngeera,Finance Director,HEVA Fund,Dr. Karimi Ngeera HEVA Fund LinkedIn,not_found,status_429
Patrick Kariuki Njoroge,Managing Director,GenAfrica Asset Managers,Patrick Kariuki Njoroge GenAfrica Asset Managers LinkedIn,not_found,status_429
Dr. Dorothy Nyambi,President and Chief Executive Officer,MEDA (Mennonite Economic Development Associates),Dr. Dorothy Nyambi MEDA (Mennonite Economic Development Associates) LinkedIn,not_found,status_429
Nathaniel Nyika,Chief Investment Officer,Agaciro Development Fund (Rwanda Sovereign Wealth Fund),Nathaniel Nyika Agaciro Development Fund (Rwanda Sovereign Wealth Fund) LinkedIn,not_found,status_429
George Odo,Senior Partner and Managing Director,AfricInvest Capital Partners East and Southern Africa,George Odo AfricInvest Capital Partners East and Southern Africa LinkedIn,not_found,status_429
Wale Odusanya,"Partner, Investment Team",Verod,Wale Odusanya Verod LinkedIn,not_found,status_429
Opuiyo Oforiokuma,Senior Partner,Africa50 Infrastructure Acceleration Fund,Opuiyo Oforiokuma Africa50 Infrastructure Acceleration Fund LinkedIn,not_found,status_429
Yvonne Ofosu-Appiah,Co-Founder and Managing Partner,Sahara Impact Ventures,Yvonne Ofosu-Appiah Sahara Impact Ventures LinkedIn,not_found,status_429
Adefolarin Ogunsanya,"Partner, Investment",Development Partners International,Adefolarin Ogunsanya Development Partners International LinkedIn,not_found,status_429
Tosin Ojo,Partner,Sahel Capital,Tosin Ojo Sahel Capital LinkedIn,not_found,status_429
Richard Okello,Co-Founder and Partner,Sango Capital,Richard Okello Sango Capital LinkedIn,not_found,status_429
Ory Okolloh,Partner,Verod-Kepple Africa Ventures,Ory Okolloh Verod-Kepple Africa Ventures LinkedIn,not_found,status_429
Funke Okubadejo,Managing Partner,Grene Capital,Funke Okubadejo Grene Capital LinkedIn,not_found,status_429
Rui Oliveira,Chief Executive Officer and Co-Chief Investment Officer,BFA Asset Management,Rui Oliveira BFA Asset Management LinkedIn,not_found,status_429
Ogugua Osakwe-Adegbite,"Head, M&A, Exits and Strategic Partnerships",Partech Africa,Ogugua Osakwe-Adegbite Partech Africa LinkedIn,not_found,status_429
Martha Osier,Partner,Adenia,Martha Osier Adenia LinkedIn,not_found,status_429
David Owino,Founder and Managing Partner,Ascent,David Owino Ascent LinkedIn,not_found,status_429
Sérgio Pimenta,Chief Executive Officer,Africa50 Infrastructure Acceleration Fund,Sérgio Pimenta Africa50 Infrastructure Acceleration Fund LinkedIn,not_found,status_429
Samantha Pokroy,Founder and Chief Executive Officer,Sanari Capital,Samantha Pokroy Sanari Capital LinkedIn,not_found,status_429
Pierre Celestin Rwabukumba,President and Chief Executive Officer,Rwanda Stock Exchange,Pierre Celestin Rwabukumba Rwanda Stock Exchange LinkedIn,not_found,
Lisa Rümelin,Founder and Managing Partner,Betula Partners Limited,Lisa Rümelin Betula Partners Limited LinkedIn,not_found,
Ibrahim Sagna,Executive Chairman,Silverbacks Holdings,Ibrahim Sagna Silverbacks Holdings LinkedIn,not_found,
Babacar Seck,Managing Partner,Askya Investment Partners,Babacar Seck Askya Investment Partners LinkedIn,not_found,
Sapna Shah,Partner,Novastar Ventures,Sapna Shah Novastar Ventures LinkedIn,not_found,
Aliya Farah Shariff,Senior Director,Mastercard Foundation,Aliya Farah Shariff Mastercard Foundation LinkedIn,not_found,
Saad Sheikh,Partner,Enko Capital,Saad Sheikh Enko Capital LinkedIn,not_found,
Abishkar Shrestha,"Head, Investments",Visa Foundation,Abishkar Shrestha Visa Foundation LinkedIn,not_found,
Angela Simpson,Partner,Bowmans,Angela Simpson Bowmans LinkedIn,not_found,status_429
Barthout van Slingelandt,Managing Partner,XSML Capital,Barthout van Slingelandt XSML Capital LinkedIn,not_found,status_429
Daniel Sodimu,Research Associate,AVCA – The African Private Capital Association,Daniel Sodimu AVCA – The African Private Capital Association LinkedIn,not_found,status_429
Shirley Somuah,Partner,CardinalStone Capital Advisers,Shirley Somuah CardinalStone Capital Advisers LinkedIn,not_found,status_429
Hany Al Sonbaty,Managing Partner,Sawari Ventures,Hany Al Sonbaty Sawari Ventures LinkedIn,not_found,status_429
Kunle Soyibo,Partner,"Jackson, Etti & Edu","Kunle Soyibo Jackson, Etti & Edu LinkedIn",not_found,status_429
Azamat Sultan,Co-Founder and Chief Executive Officer,GoCab,Azamat Sultan GoCab LinkedIn,not_found,status_429
Ethiopis Tafara,"Regional Vice President, Africa",International Finance Corporation (IFC),Ethiopis Tafara International Finance Corporation (IFC) LinkedIn,not_found,status_429
Kento Tanaka,"Representative, Kenya Office",Japan International Cooperation Agency,Kento Tanaka Japan International Cooperation Agency LinkedIn,not_found,status_429
Sara Taylor,"Director and Head, Private Equity Funds and Co-Investments",British International Investment,Sara Taylor British International Investment LinkedIn,not_found,status_429
Geetha Tharmaratnam,"Senior Advisor, Investments",Toloram,Geetha Tharmaratnam Toloram LinkedIn,not_found,status_429
Joris Totté,Chief Executive Officer,Belgian Investment Company for Developing Countries,Joris Totté Belgian Investment Company for Developing Countries LinkedIn,not_found,status_429
Nina Triantis,"Head, Global Sponsor Coverage, Client Coverage CIB; Vice Chair, TMT",Standard Bank Group,Nina Triantis Standard Bank Group LinkedIn,not_found,status_429
Charles Tryon,Director and Chief Executive,Maris Limited,Charles Tryon Maris Limited LinkedIn,not_found,status_429
Danladi Verheijen,Managing Partner,Verod,Danladi Verheijen Verod LinkedIn,not_found,status_429
Nicholas Vickery,"Global Head, Private Equity Funds",International Finance Corporation (IFC),Nicholas Vickery International Finance Corporation (IFC) LinkedIn,not_found,status_429
Njeri Wagacha,"Partner, Corporate and Commercial and Co-Head, Industrials, Trade and Manufacturing",Cliffe Dekker Hofmeyr incorporating Kieti Law LLP (CDH),Njeri Wagacha Cliffe Dekker Hofmeyr incorporating Kieti Law LLP (CDH) LinkedIn,not_found,status_429
Joyce-Ann Wainaina,Managing Partner,Chui Ventures,Joyce-Ann Wainaina Chui Ventures LinkedIn,not_found,status_429
Michele Wanjiku Wainaina,Africa Regional Head,Endeavor Catalyst,Michele Wanjiku Wainaina Endeavor Catalyst LinkedIn,not_found,status_429
Nigel Wellings,"Partner, Private Capital and Co-Head, European Corporate Practice",Clifford Chance,Nigel Wellings Clifford Chance LinkedIn,not_found,status_429
Dirk Werner,"Managing Director, Equity",European Bank for Reconstruction and Development,Dirk Werner European Bank for Reconstruction and Development LinkedIn,not_found,status_429
Rosanne Whalley,Chief Executive Officer,AHL Venture Partners,Rosanne Whalley AHL Venture Partners LinkedIn,not_found,status_429
Guy Willner,"Managing Director, Digital Infrastructure",Helios Investment Partners,Guy Willner Helios Investment Partners LinkedIn,not_found,status_429
Ann Wyman,Executive Partner,AfricInvest,Ann Wyman AfricInvest LinkedIn,not_found,status_429
Joanne Yoo,Partner,Development Partners International,Joanne Yoo Development Partners International LinkedIn,not_found,status_429
